"ID番号","pt0503","眼","開眼"
"氏名","おもり","姿勢","立位"
"性別","男","病名","正常"
"年齢","18.00","メモ",
"身長(cm)","177.00","検査者",
"体重(kg)","20.00"
"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
0.000,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.010,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.020,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.030,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.040,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.050,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.060,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.070,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.080,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.090,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.100,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.110,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.120,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.130,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.140,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.150,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.160,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.170,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.180,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.190,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.200,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.210,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.220,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.230,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.240,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.250,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.260,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.270,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.280,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.290,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.300,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.310,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.320,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.330,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.340,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.350,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.360,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.370,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.380,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.390,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.400,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.410,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.420,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.430,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.440,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.450,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.460,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.470,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.480,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.490,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.500,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.510,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.520,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.530,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.540,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.550,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.560,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.570,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.580,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.590,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.600,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.610,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.620,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.630,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.640,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.650,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.660,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.670,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.680,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.690,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.700,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.710,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.720,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.730,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.740,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.750,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.760,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
